Name,MapDate,DSCI
Texas,20120327,264
Texas,20120403,251
Texas,20120410,243
Texas,20120417,229
Texas,20120424,226
Texas,20120501,233
Texas,20120508,227
Texas,20120515,187
Texas,20120522,197
Texas,20120529,194
Texas,20120605,200
Texas,20120612,193
Texas,20120619,191
Texas,20120626,211
Texas,20120703,220
Texas,20120710,221
Texas,20120717,200
Texas,20120724,203
Texas,20120731,206
Texas,20120807,215
Texas,20120814,225
Texas,20120821,216
Texas,20120828,220
Texas,20120904,231
Texas,20120911,249
Texas,20120918,244
Texas,20120925,257
Texas,20121002,201
Texas,20121009,200
Texas,20121016,196
Texas,20121023,198
Texas,20121030,194
Texas,20121106,200
Texas,20121113,221
Texas,20121120,247
Texas,20121127,261
Texas,20121204,271
Texas,20121211,288
Texas,20121218,292
Texas,20121225,293
Texas,20130101,296
Texas,20130108,292
Texas,20130115,243
Texas,20130122,243
Texas,20130129,246
Texas,20130205,252
Texas,20130212,247
Texas,20130219,244
Texas,20130226,241
Texas,20130305,252
Texas,20130312,251
Texas,20130319,279
Texas,20130326,288
Texas,20130402,297
Texas,20130409,300
Texas,20130416,309
Texas,20130423,311
Texas,20130430,311
Texas,20130507,317
Texas,20130514,305
Texas,20130521,307
Texas,20130528,294
Texas,20130604,292
Texas,20130611,285
Texas,20130618,280
Texas,20130625,281
Texas,20130702,299
Texas,20130709,313
Texas,20130716,311
Texas,20130723,294
Texas,20130730,282
Texas,20130806,286
Texas,20130813,276
Texas,20130820,273
Texas,20130827,273
Texas,20130903,269
Texas,20130910,273
Texas,20130917,272
Texas,20130924,230
Texas,20131001,194
Texas,20131008,194
Texas,20131015,181
Texas,20131022,176
Texas,20131029,171
Texas,20131105,160
Texas,20131112,160
Texas,20131119,164
Texas,20131126,151
Texas,20131203,151
Texas,20131210,147
Texas,20131217,152
Texas,20131224,148
Texas,20131231,143
Texas,20140107,143
Texas,20140114,147
Texas,20140121,152
Texas,20140128,161
Texas,20140204,168
Texas,20140211,174
Texas,20140218,183
Texas,20140225,204
Texas,20140304,199
Texas,20140311,195
Texas,20140318,198
Texas,20140325,223
Texas,20140401,225
Texas,20140408,221
Texas,20140415,231
Texas,20140422,249
Texas,20140429,273
Texas,20140506,311
Texas,20140513,281
Texas,20140520,284
Texas,20140527,253
Texas,20140603,242
Texas,20140610,233
Texas,20140617,230
Texas,20140624,219
Texas,20140701,208
Texas,20140708,208
Texas,20140715,210
Texas,20140722,193
Texas,20140729,192
Texas,20140805,192
Texas,20140812,193
Texas,20140819,192
Texas,20140826,202
Texas,20140902,205
Texas,20140909,196
Texas,20140916,189
Texas,20140923,170
Texas,20140930,164
Texas,20141007,164
Texas,20141014,159
Texas,20141021,161
Texas,20141028,168
Texas,20141104,165
Texas,20141111,151
Texas,20141118,150
Texas,20141125,143
Texas,20141202,143
Texas,20141209,146
Texas,20141216,147
Texas,20141223,146
Texas,20141230,151
Texas,20150106,140
Texas,20150113,138
Texas,20150120,140
Texas,20150127,136
Texas,20150203,132
Texas,20150210,138
Texas,20150217,150
Texas,20150224,152
Texas,20150303,148
Texas,20150310,141
Texas,20150317,141
Texas,20150324,129
Texas,20150331,130
Texas,20150407,130
Texas,20150414,125
Texas,20150421,113
Texas,20150428,95
Texas,20150505,93
Texas,20150512,68
Texas,20150519,49
Texas,20150526,23
Texas,20150602,10
Texas,20150609,8
Texas,20150616,7
Texas,20150623,5
Texas,20150630,5
Texas,20150707,5
Texas,20150714,3
Texas,20150721,4
Texas,20150728,14
Texas,20150804,32
Texas,20150811,62
Texas,20150818,76
Texas,20150825,71
Texas,20150901,78
Texas,20150908,90
Texas,20150915,92
Texas,20150922,109
Texas,20150929,128
Texas,20151006,154
Texas,20151013,158
Texas,20151020,184
Texas,20151027,62
Texas,20151103,26
Texas,20151110,10
Texas,20151117,10
Texas,20151124,8
Texas,20151201,4
Texas,20151208,3
Texas,20151215,3
Texas,20151222,4
Texas,20151229,5
Texas,20160105,2
Texas,20160112,2
Texas,20160119,2
Texas,20160126,2
Texas,20160202,2
Texas,20160209,12
Texas,20160216,48
Texas,20160223,23
Texas,20160301,26
Texas,20160308,32
Texas,20160315,12
Texas,20160322,15
Texas,20160329,28
Texas,20160405,30
Texas,20160412,30
Texas,20160419,24
Texas,20160426,16
Texas,20160503,12
Texas,20160510,11
Texas,20160517,3
Texas,20160524,3
Texas,20160531,1
Texas,20160607,2
Texas,20160614,1
Texas,20160621,1
Texas,20160628,1
Texas,20160705,3
Texas,20160712,6
Texas,20160719,15
Texas,20160726,43
Texas,20160802,41
Texas,20160809,55
Texas,20160816,35
Texas,20160823,20
Texas,20160830,13
Texas,20160906,8
Texas,20160913,5
Texas,20160920,6
Texas,20160927,6
Texas,20161004,13
Texas,20161011,26
Texas,20161018,35
Texas,20161025,47
Texas,20161101,62
Texas,20161108,55
Texas,20161115,60
Texas,20161122,57
Texas,20161129,51
Texas,20161206,24
Texas,20161213,28
Texas,20161220,30
Texas,20161227,33
Texas,20170103,27
Texas,20170110,32
Texas,20170117,22
Texas,20170124,12
Texas,20170131,12
Texas,20170207,14
Texas,20170214,17
Texas,20170221,11
Texas,20170228,29
Texas,20170307,35
Texas,20170314,40
Texas,20170321,56
Texas,20170328,54
Texas,20170404,20
Texas,20170411,17
Texas,20170418,11
Texas,20170425,11
Texas,20170502,10
Texas,20170509,23
Texas,20170516,42
Texas,20170523,25
Texas,20170530,38
Texas,20170606,18
Texas,20170613,24
Texas,20170620,32
Texas,20170627,30
Texas,20170704,33
Texas,20170711,30
Texas,20170718,34
Texas,20170725,35
Texas,20170801,37
Texas,20170808,24
Texas,20170815,12
Texas,20170822,16
Texas,20170829,5
Texas,20170905,6
Texas,20170912,9
Texas,20170919,24
Texas,20170926,34
Texas,20171003,15
Texas,20171010,16
Texas,20171017,23
Texas,20171024,21
Texas,20171031,31
Texas,20171107,51
Texas,20171114,62
Texas,20171121,83
Texas,20171128,112
Texas,20171205,120
Texas,20171212,110
Texas,20171219,110
Texas,20171226,99
Texas,20180102,106
Texas,20180109,121
Texas,20180116,139
Texas,20180123,156
Texas,20180130,172
Texas,20180206,196
Texas,20180213,212
Texas,20180220,208
Texas,20180227,166
Texas,20180306,164
Texas,20180313,166
Texas,20180320,177
Texas,20180327,183
Texas,20180403,152
Texas,20180410,154
Texas,20180417,156
Texas,20180424,165
Texas,20180501,160
Texas,20180508,139
Texas,20180515,149
Texas,20180522,137
Texas,20180529,140
Texas,20180605,155
Texas,20180612,162
Texas,20180619,144
Texas,20180626,143
Texas,20180703,169
Texas,20180710,149
Texas,20180717,140
Texas,20180724,158
Texas,20180731,182
Texas,20180807,208
Texas,20180814,176
Texas,20180821,174
Texas,20180828,182
Texas,20180904,177
